conf=|pred-0.5| inv  → % of |error| captured in top-k% most-uncertain patches
results/2d/pfn_seg_low_res_loss/pfn_seg_P8_e256_l6_k3_think8/patch_analysis.csv   (3,388,672 patches, 35 datasets)

               dataset         n   top5%  top10%  top20%  top30%  top50%
  ----------------------------------------------------------------------
             promise12     37632  90.6%  99.6% 100.0% 100.0% 100.0%
          cystoidfluid     25856  97.4%  99.4%  99.8% 100.0% 100.0%
            mosmedplus     69632  87.9%  96.2%  99.5% 100.0% 100.0%
       ultrasoundnerve     57088  77.9%  95.6%  99.6%  99.8% 100.0%
               fhpsaop    204800  71.7%  93.2% 100.0% 100.0% 100.0%
           usforkidney    117248  44.0%  82.1%  99.4% 100.0% 100.0%
               bbbc010      2560  37.4%  74.7%  95.1%  98.9% 100.0%
   uwaterlooskincancer      4864  46.7%  73.0%  95.0%  98.6% 100.0%
              m2caiseg   1408256  57.6%  72.7%  89.1%  93.9%  98.1%
             abdomenus     51200  48.4%  70.0%  88.6%  96.3%  99.8%
              isic2016     23040  40.5%  69.9%  86.3%  95.4% 100.0%
                 idrib      6144  55.2%  68.4%  85.8%  93.3%  97.6%
                   wbc     20480  31.4%  67.9%  97.7%  99.9% 100.0%
              bkai-igh     34048  45.2%  66.6%  82.8%  88.3%  96.3%
                 chuac       512  32.2%  63.9%  89.0%  95.7%  99.8%
              deepbacs       512  35.2%  61.6%  74.9%  85.9%  93.3%
                  busi     16384  35.2%  59.0%  79.3%  90.9%  99.6%
              polypgen     35840  33.3%  55.0%  79.5%  88.7%  96.7%
          covid19radio    541440  22.1%  54.5%  94.8%  99.6% 100.0%
                  dca1      3328  24.9%  50.6%  84.0%  93.3%  98.4%
              chasedb1       512  23.7%  49.4%  72.5%  79.7%  90.8%
              isic2018     25600  26.4%  48.4%  77.8%  91.3%  97.8%
             covidquex    119296  24.1%  47.7%  81.6%  96.4% 100.0%
                  yeaz     24576  20.5%  40.0%  69.9%  87.7%  99.1%
                 drive       512  20.5%  39.7%  60.3%  73.7%  91.1%
                 nuset     87040  17.4%  35.3%  71.4%  92.9%  99.7%
                kvasir     25600  18.6%  34.8%  58.4%  74.9%  91.4%
              robotool     12800  16.4%  32.0%  54.8%  69.7%  86.3%
             pandental      2816  16.0%  31.8%  63.3%  85.5%  97.8%
                nuclei      3584  22.3%  30.6%  47.5%  62.1%  80.8%
              brifiseg     35328  15.1%  30.2%  57.9%  79.7%  98.0%
            cellnuclei     17152  15.2%  30.2%  59.4%  81.5%  99.9%
        dynamicnuclear    362752  14.0%  28.8%  54.9%  76.0%  98.0%
               monusac      8960   9.8%  20.0%  39.2%  57.3%  89.5%
            tnbcnuclei      1280   9.3%  17.5%  36.6%  54.6%  82.0%
  ----------------------------------------------------------------------
          ALL (pooled)   3388672  31.0%  60.7%  88.3%  96.0%  99.4%
