class,obj_vox,real_dice,tier,res,mode,tier_native_res,K,auroc,ap,transfer_dice,transfer_precision,transfer_recall,margin,retrieval_at1
adrenal_gland_left,1117,,backbone,16,dense,24,1,0.9992096424102783,,0.0826544538140297,0.05967480316758156,0.13441522419452667,0.2862313389778137,0.4285714626312256
adrenal_gland_left,1117,,backbone,24,dense,24,1,0.9923143982887268,,0.05508378520607948,0.06878089159727097,0.04593602940440178,0.2474401295185089,0.20000001788139343
adrenal_gland_left,1162,,backbone,16,dense,24,1,0.8417131304740906,,0.04243428260087967,0.023764338344335556,0.19794751703739166,0.2536008059978485,0.8888888955116272
adrenal_gland_left,1162,,backbone,24,dense,24,1,0.860988974571228,,0.04035863280296326,0.025357842445373535,0.09881266206502914,0.22738926112651825,0.8823529481887817
adrenal_gland_left,1125,,backbone,16,dense,24,1,0.9869427680969238,,0.0,0.0,0.0,0.10020401328802109,0.0
adrenal_gland_left,1125,,backbone,24,dense,24,1,0.9916426539421082,,0.15133585035800934,0.2722647190093994,0.10479166358709335,0.13173618912696838,0.2666666805744171
adrenal_gland_left,994,,backbone,16,dense,24,1,0.9676477909088135,,0.0,0.0,0.0,0.019720742478966713,0.0
adrenal_gland_left,994,,backbone,24,dense,24,1,0.9786425828933716,,0.0,0.0,0.0,0.06290251761674881,0.0
adrenal_gland_left,1481,,backbone,16,dense,24,1,0.9038665890693665,,0.0,0.0,0.0,0.17692433297634125,0.0
adrenal_gland_left,1481,,backbone,24,dense,24,1,0.9410783052444458,,0.013577713631093502,0.012080592103302479,0.015498396009206772,0.16388733685016632,0.10000000149011612
adrenal_gland_left,37,,backbone,16,dense,24,1,0.9935328364372253,,0.0,0.0,0.0,0.12207561731338501,0.0
adrenal_gland_left,37,,backbone,24,dense,24,1,0.9931373000144958,,0.0,0.0,0.0,0.10682043433189392,0.0
adrenal_gland_left,1133,,backbone,16,dense,24,1,0.9494172930717468,,0.0,0.0,0.0,0.14690153300762177,0.0
adrenal_gland_left,1133,,backbone,24,dense,24,1,0.9398147463798523,,0.0,0.0,0.0,0.1768474131822586,0.0
adrenal_gland_left,1498,,backbone,16,dense,24,1,0.6627562046051025,,0.0,0.0,0.0,0.1815958470106125,0.0
adrenal_gland_left,1498,,backbone,24,dense,24,1,0.8593988418579102,,0.0,0.0,0.0,0.1879776269197464,0.0
adrenal_gland_left,1521,,backbone,16,dense,24,1,0.8517839312553406,,0.0,0.0,0.0,0.13473638892173767,0.0
adrenal_gland_left,1521,,backbone,24,dense,24,1,0.9062395691871643,,0.0018899148562923074,0.0011491745244711637,0.00531748216599226,0.15599875152111053,0.043478261679410934
adrenal_gland_left,1496,,backbone,16,dense,24,1,0.9943215250968933,,0.02951560728251934,0.1328202337026596,0.01660252921283245,0.19617323577404022,0.1111111119389534
adrenal_gland_left,1496,,backbone,24,dense,24,1,0.9881676435470581,,0.0910847932100296,0.12183737754821777,0.07272779196500778,0.20421381294727325,0.2777777910232544
adrenal_gland_left,1233,,backbone,16,dense,24,1,0.9944280385971069,,0.0,0.0,0.0,0.2298259288072586,0.0
adrenal_gland_left,1233,,backbone,24,dense,24,1,0.9970917701721191,,0.009640957228839397,0.1699218600988388,0.004961222410202026,0.22618559002876282,0.043478261679410934
adrenal_gland_left,1821,,backbone,16,dense,24,1,0.9786223769187927,,0.035519182682037354,0.051342371851205826,0.027151403948664665,0.18083766102790833,0.4166666865348816
adrenal_gland_left,1821,,backbone,24,dense,24,1,0.9761788845062256,,0.16169291734695435,0.32662510871887207,0.10744010657072067,0.18563932180404663,0.190476194024086
adrenal_gland_left,1128,,backbone,16,dense,24,1,0.8798282146453857,,0.06953471153974533,0.08330396562814713,0.05967163294553757,0.20362259447574615,0.125
adrenal_gland_left,1128,,backbone,24,dense,24,1,0.9184224009513855,,0.047179561108350754,0.07068584114313126,0.035405583679676056,0.18856774270534515,0.05263157933950424
adrenal_gland_left,1030,,backbone,16,dense,24,1,0.9803839325904846,,0.0,0.0,0.0,0.14763158559799194,0.0
adrenal_gland_left,1030,,backbone,24,dense,24,1,0.9676892757415771,,0.0,0.0,0.0,0.1260930299758911,0.0
adrenal_gland_left,1200,,backbone,16,dense,24,1,0.9882578253746033,,0.08400620520114899,0.05965146794915199,0.14197048544883728,0.23366282880306244,0.46153849363327026
adrenal_gland_left,1200,,backbone,24,dense,24,1,0.9915999174118042,,0.025664197281003,0.04124264791607857,0.01862793043255806,0.20849603414535522,0.20000001788139343
adrenal_gland_left,1622,,backbone,16,dense,24,1,0.9775529503822327,,0.11060518771409988,0.11833900213241577,0.10382022708654404,0.21303632855415344,0.30000001192092896
adrenal_gland_left,1622,,backbone,24,dense,24,1,0.992863118648529,,0.004226580262184143,0.02769356407225132,0.0022878777235746384,0.20207564532756805,0.03999999910593033
adrenal_gland_left,1262,,backbone,16,dense,24,1,0.7925124764442444,,0.0,0.0,0.0,0.21307644248008728,0.0
adrenal_gland_left,1262,,backbone,24,dense,24,1,0.8676839470863342,,0.0,0.0,0.0,0.18309073150157928,0.0
adrenal_gland_left,1297,,backbone,16,dense,24,1,0.7672783136367798,,0.0,0.0,0.0,0.24715517461299896,0.0
