class,obj_vox,real_dice,tier,res,mode,tier_native_res,K,auroc,ap,transfer_dice,transfer_precision,transfer_recall,margin,retrieval_at1
adrenal_gland_left,867,,backbone,16,dense,24,1,0.9824957847595215,,0.0,0.0,0.0,0.170663982629776,0.0
adrenal_gland_left,867,,backbone,24,dense,24,1,0.9700260758399963,,0.0,0.0,0.0,0.15592136979103088,0.0
adrenal_gland_left,490,,backbone,16,dense,24,1,0.9055841565132141,,0.0,0.0,0.0,0.2505018711090088,0.0
adrenal_gland_left,490,,backbone,24,dense,24,1,0.9458290934562683,,0.014391139149665833,0.02700359933078289,0.009809470735490322,0.23860974609851837,0.10000000149011612
adrenal_gland_left,553,,backbone,16,dense,24,1,0.9913312196731567,,0.01184786856174469,0.03935183957219124,0.006973745301365852,0.2054527997970581,0.1111111119389534
adrenal_gland_left,553,,backbone,24,dense,24,1,0.9967373013496399,,0.05739308148622513,0.12429405003786087,0.03731069341301918,0.19213220477104187,0.1666666716337204
adrenal_gland_left,417,,backbone,16,dense,24,1,0.9693006873130798,,0.03390052914619446,0.10995367169380188,0.020039521157741547,0.22645650804042816,0.20000000298023224
adrenal_gland_left,417,,backbone,24,dense,24,1,0.9830901622772217,,0.0,0.0,0.0,0.23133477568626404,0.0
adrenal_gland_left,641,,backbone,16,dense,24,1,0.9791858196258545,,0.0,0.0,0.0,0.13801512122154236,0.0
adrenal_gland_left,641,,backbone,24,dense,24,1,0.9773378968238831,,0.0,0.0,0.0,0.15473401546478271,0.0
adrenal_gland_right,607,,backbone,16,dense,24,1,0.9672562479972839,,0.0,0.0,0.0,0.16935023665428162,0.0
adrenal_gland_right,607,,backbone,24,dense,24,1,0.9850884079933167,,0.0,0.0,0.0,0.14498694241046906,0.0
adrenal_gland_right,434,,backbone,16,dense,24,1,0.8567512035369873,,0.0,0.0,0.0,0.21210627257823944,0.0
adrenal_gland_right,434,,backbone,24,dense,24,1,0.939373254776001,,0.0,0.0,0.0,0.2129398137331009,0.0
adrenal_gland_right,454,,backbone,16,dense,24,1,0.9662642478942871,,0.0,0.0,0.0,0.1960080862045288,0.0
adrenal_gland_right,454,,backbone,24,dense,24,1,0.9735282063484192,,0.052413661032915115,0.043276991695165634,0.06644066423177719,0.21243467926979065,0.5
adrenal_gland_right,429,,backbone,16,dense,24,1,0.9937019944190979,,0.0,0.0,0.0,0.1642123907804489,0.0
adrenal_gland_right,429,,backbone,24,dense,24,1,0.997118353843689,,0.025182245299220085,0.0561523400247097,0.016230514273047447,0.1586310714483261,0.09090909361839294
adrenal_gland_right,499,,backbone,16,dense,24,1,0.9621543288230896,,0.0,0.0,0.0,0.19170185923576355,0.0
adrenal_gland_right,499,,backbone,24,dense,24,1,0.9963290691375732,,0.008522727526724339,0.045955877751111984,0.004696893971413374,0.19115976989269257,0.1111111119389534
aorta,13487,,backbone,16,dense,24,1,0.9823459982872009,,0.12876059114933014,0.1509934663772583,0.11223471164703369,0.19725264608860016,0.29545456171035767
aorta,13487,,backbone,24,dense,24,1,0.9653047919273376,,0.23478202521800995,0.3463170826435089,0.17758797109127045,0.15533089637756348,0.2551020383834839
aorta,54475,,backbone,16,dense,24,1,0.8584280610084534,,0.2995817959308624,0.32058143615722656,0.28116416931152344,0.17977285385131836,0.6183205842971802
aorta,54475,,backbone,24,dense,24,1,0.8663045763969421,,0.3662448525428772,0.44254547357559204,0.31238552927970886,0.13277488946914673,0.4778156876564026
aorta,9777,,backbone,16,dense,24,1,0.8952177166938782,,0.14997072517871857,0.10915763676166534,0.23952826857566833,0.12664340436458588,0.7714285850524902
aorta,9777,,backbone,24,dense,24,1,0.925369143486023,,0.34462037682533264,0.28508812189102173,0.43557804822921753,0.10637910664081573,0.5538461804389954
aorta,24613,,backbone,16,dense,24,1,0.8661414980888367,,0.1734108328819275,0.17708659172058105,0.1698845773935318,0.15393131971359253,0.4571428596973419
aorta,24613,,backbone,24,dense,24,1,0.8942561745643616,,0.47592097520828247,0.45520535111427307,0.4986119568347931,0.12406018376350403,0.5759493708610535
aorta,16221,,backbone,16,dense,24,1,0.9416818022727966,,0.1751251220703125,0.24355949461460114,0.13671225309371948,0.12991686165332794,0.45000001788139343
aorta,16221,,backbone,24,dense,24,1,0.9243714213371277,,0.44657883048057556,0.5606569647789001,0.3710753321647644,0.09218761324882507,0.4285714328289032
atrial_appendage_left,394,,backbone,16,dense,24,1,0.9897987842559814,,0.0022777635604143143,0.0016276828246191144,0.0037924181669950485,0.1746070832014084,0.25
atrial_appendage_left,394,,backbone,24,dense,24,1,0.8350411057472229,,6.696428317809477e-05,7.659313996555284e-05,5.948603939032182e-05,0.15714013576507568,0.125
atrial_appendage_left,839,,backbone,16,dense,24,1,0.8963842391967773,,0.174387589097023,0.21139682829380035,0.14840611815452576,0.1723308265209198,0.3333333432674408
atrial_appendage_left,839,,backbone,24,dense,24,1,0.8782647252082825,,0.16399426758289337,0.2105870395898819,0.13428375124931335,0.15552034974098206,0.4545454680919647
atrial_appendage_left,534,,backbone,16,dense,24,1,0.9867346882820129,,0.0,0.0,0.0,0.09452389180660248,0.0
atrial_appendage_left,534,,backbone,24,dense,24,1,0.996104896068573,,0.00962030328810215,0.023423347622156143,0.0060532246716320515,0.1105489656329155,0.25
autochthon_left,71787,,backbone,16,dense,24,1,0.9495689272880554,,0.2321052849292755,0.3789620101451874,0.16728025674819946,0.11223983764648438,0.4375000298023224
autochthon_left,71787,,backbone,24,dense,24,1,0.9433658719062805,,0.39471691846847534,0.5974875688552856,0.29470294713974,0.10949502140283585,0.43508774042129517
