dataset,sample_idx,label_value,dice_native,dice_ds,morphology,task_id,subject_index,fg_frac,ctx_dice,thinness,tortuosity,branching_density,region_size,boundary_complexity,scattered_count,scattered_clustering,task_ambiguity,boundary_amp_scale,boundary_sigma_frac,boundary_keep_largest,position_jitter,support_query_shift,support_query_translate,support_query_scale,foreground_contrast,texture_heterogeneity,noise_level,context_copy_fraction,context_consistency,task_ambiguity_intensity,axis_identification,axis_segmentation
synth/blob/amb0.90,0,1,0.0,0.0,blob,5,0,0.02178955078125,0.0,0.5333194176679458,0.7034539690957238,0.4026564797060761,0.6093052567025883,0.3399029114737168,19.0,0.20301952299532244,0.8909406750169354,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8909406750169354,0.5192565888652336
synth/blob/amb0.90,1,1,0.0,0.0,blob,5,1,0.02545166015625,0.005618766571084659,0.5333194176679458,0.7034539690957238,0.4026564797060761,0.6093052567025883,0.3399029114737168,19.0,0.20301952299532244,0.8909406750169354,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8909406750169354,0.5192565888652336
synth/blob/amb0.90,2,1,0.0,0.0,blob,5,2,0.01177978515625,0.0,0.5333194176679458,0.7034539690957238,0.4026564797060761,0.6093052567025883,0.3399029114737168,19.0,0.20301952299532244,0.8909406750169354,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8909406750169354,0.5192565888652336
synth/blob/amb0.90,3,1,0.04681647941470146,0.04681647941470146,blob,5,3,0.05426025390625,0.027269810438156128,0.5333194176679458,0.7034539690957238,0.4026564797060761,0.6093052567025883,0.3399029114737168,19.0,0.20301952299532244,0.8909406750169354,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8909406750169354,0.5192565888652336
synth/annular/amb0.98,4,1,0.0,0.0,annular,7,0,0.00543212890625,0.0,0.467596174462639,0.32114696432063367,0.8376833951105187,0.22434641890843798,0.6572726774922104,22.0,0.07137693325911498,0.9978994507010255,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9978994507010255,0.6831322394042504
synth/annular/amb0.98,5,1,0.0,0.0,annular,7,1,0.01239013671875,0.02937853087981542,0.467596174462639,0.32114696432063367,0.8376833951105187,0.22434641890843798,0.6572726774922104,22.0,0.07137693325911498,0.9978994507010255,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9978994507010255,0.6831322394042504
synth/annular/amb0.98,6,1,0.0,0.0,annular,7,2,0.0018310546875,0.0,0.467596174462639,0.32114696432063367,0.8376833951105187,0.22434641890843798,0.6572726774922104,22.0,0.07137693325911498,0.9978994507010255,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9978994507010255,0.6831322394042504
synth/annular/amb0.98,7,1,0.0,0.0,annular,7,3,0.0008544921875,0.012903225918610891,0.467596174462639,0.32114696432063367,0.8376833951105187,0.22434641890843798,0.6572726774922104,22.0,0.07137693325911498,0.9978994507010255,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9978994507010255,0.6831322394042504
synth/annular/amb0.95,8,1,0.08679245412349701,0.08679245412349701,annular,89,0,0.02410888671875,0.0,0.3451144752674456,0.3403919794107262,0.5717625086448197,0.4038251489608462,0.6915773200192371,18.0,0.020387101206473468,0.9506939225813916,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9506939225813916,0.6753646749364972
synth/annular/amb0.95,9,1,0.0,0.0,annular,89,1,0.038818359375,0.0,0.3451144752674456,0.3403919794107262,0.5717625086448197,0.4038251489608462,0.6915773200192371,18.0,0.020387101206473468,0.9506939225813916,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9506939225813916,0.6753646749364972
