run_id,run_name,description,epoch,class,in_train,subject,ctx_cases,self_ctx,dice,nsd,soft_dice,loss,time_ms,tgt_size,tgt_occ,ctx_size,ctx_occ,spacing,synth_size,detail
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0287,s0316,False,0.2523,,,,70.8,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0316,s0042,False,0.2002,,,,75.6,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0355,s0309,False,0.039,,,,70.1,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0342,s0024,False,0.4113,,,,67.4,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0015,s0216,False,0.0065,,,,73.1,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0016,s0447,False,0.1144,,,,68.7,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s1133,s0546,False,0.1124,,,,66.7,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0458,s1287,False,0.522,,,,66.7,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0015,s0175,False,0.0065,,,,73.1,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0544,s1161,False,0.0,,,,67.2,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0002,s0309,False,0.5011,,,,75.9,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0342,s0309,False,0.4113,,,,67.4,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0045,s0824,False,0.3091,,,,66.3,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s0760,s1337,False,0.3369,,,,73.8,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_left,True,s1161,s1024,False,0.4392,,,,70.8,,,,,,,ct ct<-ct
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_right,False,s0547,s0367,False,0.0,,,,70.3,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_right,False,s0016,s0216,False,0.0166,,,,70.0,,,,,,,mri mri<-mri
6ylg2l3o,145_cascade_randomfg_gtprior_regoff,"step 1/3 (anchor): registers=off, prior=perturbed-GT (gt_coarse + prior_perturb dilate/erode/shift/noise), center=random_fg (train) / com (eval)",0,adrenal_gland_right,False,s0316,s0143,False,0.0,,,,68.8,,,,,,,mri mri<-mri
