gen_body_masks: 1228 subjects under /nfs/data/nii/data1/Analysis/camaret___in_context_segmentation/ANALYSIS_20251122/data/totalseg
10/1228  done=6 skip=4 fail=0  18.5s/case  eta 6.3h
20/1228  done=16 skip=4 fail=0  16.3s/case  eta 5.5h
30/1228  done=26 skip=4 fail=0  15.4s/case  eta 5.1h
40/1228  done=36 skip=4 fail=0  14.6s/case  eta 4.8h
50/1228  done=46 skip=4 fail=0  14.5s/case  eta 4.8h
60/1228  done=56 skip=4 fail=0  14.1s/case  eta 4.6h
70/1228  done=66 skip=4 fail=0  13.7s/case  eta 4.4h
80/1228  done=76 skip=4 fail=0  13.7s/case  eta 4.4h
90/1228  done=86 skip=4 fail=0  13.5s/case  eta 4.3h
100/1228  done=96 skip=4 fail=0  13.3s/case  eta 4.2h
110/1228  done=106 skip=4 fail=0  13.0s/case  eta 4.0h
120/1228  done=116 skip=4 fail=0  13.5s/case  eta 4.1h
130/1228  done=126 skip=4 fail=0  13.3s/case  eta 4.1h
140/1228  done=136 skip=4 fail=0  13.2s/case  eta 4.0h
150/1228  done=146 skip=4 fail=0  13.1s/case  eta 3.9h
160/1228  done=156 skip=4 fail=0  13.1s/case  eta 3.9h
170/1228  done=166 skip=4 fail=0  13.0s/case  eta 3.8h
180/1228  done=176 skip=4 fail=0  13.0s/case  eta 3.8h
190/1228  done=186 skip=4 fail=0  12.9s/case  eta 3.7h
200/1228  done=196 skip=4 fail=0  13.0s/case  eta 3.7h
210/1228  done=206 skip=4 fail=0  13.1s/case  eta 3.7h
220/1228  done=216 skip=4 fail=0  13.0s/case  eta 3.7h
230/1228  done=226 skip=4 fail=0  13.0s/case  eta 3.6h
240/1228  done=236 skip=4 fail=0  13.0s/case  eta 3.6h
250/1228  done=246 skip=4 fail=0  13.0s/case  eta 3.5h
260/1228  done=256 skip=4 fail=0  13.1s/case  eta 3.5h
270/1228  done=266 skip=4 fail=0  13.1s/case  eta 3.5h
280/1228  done=276 skip=4 fail=0  13.1s/case  eta 3.4h
290/1228  done=286 skip=4 fail=0  13.1s/case  eta 3.4h
300/1228  done=296 skip=4 fail=0  13.1s/case  eta 3.4h
310/1228  done=306 skip=4 fail=0  13.1s/case  eta 3.3h
320/1228  done=316 skip=4 fail=0  13.0s/case  eta 3.3h
330/1228  done=326 skip=4 fail=0  12.9s/case  eta 3.2h
340/1228  done=336 skip=4 fail=0  13.0s/case  eta 3.2h
350/1228  done=346 skip=4 fail=0  12.9s/case  eta 3.2h
360/1228  done=356 skip=4 fail=0  12.9s/case  eta 3.1h
370/1228  done=366 skip=4 fail=0  12.9s/case  eta 3.1h
380/1228  done=376 skip=4 fail=0  12.9s/case  eta 3.0h
390/1228  done=386 skip=4 fail=0  13.0s/case  eta 3.0h
400/1228  done=396 skip=4 fail=0  13.0s/case  eta 3.0h
410/1228  done=406 skip=4 fail=0  13.0s/case  eta 3.0h
420/1228  done=416 skip=4 fail=0  13.0s/case  eta 2.9h
430/1228  done=426 skip=4 fail=0  13.0s/case  eta 2.9h
440/1228  done=436 skip=4 fail=0  13.1s/case  eta 2.9h
450/1228  done=446 skip=4 fail=0  13.0s/case  eta 2.8h
460/1228  done=456 skip=4 fail=0  13.2s/case  eta 2.8h
