class,n_present,mean_hu,between,within,ratio,family,intensity_cluster
brachiocephalic_trunk,729,197.1,134.74,85.9,1.5685681024447031,vascular/cardiac,aorta+11more
common_carotid_artery_right,717,171.58,117.1,78.46,1.4924802447106806,vascular/cardiac,aorta+11more
pulmonary_vein,775,172.63,128.15,89.38,1.4337659431640188,vascular/cardiac,aorta+11more
aorta,1102,180.78,132.4,99.39,1.3321259684072846,vascular/cardiac,aorta+11more
brachiocephalic_vein_right,733,257.29,362.82,284.75,1.2741703248463565,vascular/cardiac,brachiocephalic_vein_right+1more
common_carotid_artery_left,753,166.15,117.28,92.68,1.2654294346137245,vascular/cardiac,aorta+11more
atrial_appendage_left,668,144.04,108.46,87.26,1.2429520971808388,vascular/cardiac,aorta+11more
brachiocephalic_vein_left,728,205.52,281.05,230.63,1.218618566535143,vascular/cardiac,brachiocephalic_vein_left
urinary_bladder,569,19.41,85.54,76.11,1.1238996189725399,organ,urinary_bladder
subclavian_artery_right,727,162.96,116.21,106.41,1.0920966074617047,vascular/cardiac,aorta+11more
superior_vena_cava,767,243.18,261.41,240.18,1.0883920393038555,vascular/cardiac,brachiocephalic_vein_right+1more
subclavian_artery_left,751,160.16,115.5,109.96,1.0503819570753001,vascular/cardiac,aorta+11more
iliac_artery_right,637,158.19,114.01,118.77,0.9599225393617917,vascular/cardiac,aorta+11more
heart,910,141.57,90.53,95.84,0.9445951585976627,vascular/cardiac,aorta+11more
iliac_artery_left,643,154.2,110.42,117.77,0.9375902182219581,vascular/cardiac,aorta+11more
kidney_left,795,104.97,55.97,60.59,0.9237497936953292,organ,adrenal_gland_left+10more
kidney_right,771,107.92,55.63,61.44,0.9054361979166667,organ,adrenal_gland_left+10more
portal_vein_and_splenic_vein,818,110.63,53.09,64.55,0.8224632068164215,vascular/cardiac,adrenal_gland_left+10more
inferior_vena_cava,975,85.43,46.28,57.48,0.8051496172581768,vascular/cardiac,adrenal_gland_left+10more
thyroid_gland,700,127.3,43.97,57.66,0.7625737079431149,organ,aorta+11more
lung_lower_lobe_right,983,-730.19,132.49,186.27,0.7112793257099909,lung,lung_lower_lobe_right+2more
iliac_vena_right,622,66.82,29.31,41.21,0.711235137102645,vascular/cardiac,adrenal_gland_left+10more
spleen,883,86.03,36.39,51.79,0.702645298320139,organ,adrenal_gland_left+10more
lung_lower_lobe_left,999,-722.47,128.16,186.91,0.6856775988443636,lung,lung_lower_lobe_left+1more
iliac_vena_left,627,65.48,28.03,42.53,0.659064189983541,vascular/cardiac,adrenal_gland_left+10more
rib_left_12,772,397.1,123.7,188.73,0.6554336883378372,bone,clavicula_left+53more
lung_middle_lobe_right,876,-800.3,102.5,157.55,0.6505871152015232,lung,lung_lower_lobe_right+2more
rib_right_12,767,402.66,123.22,194.91,0.6321892155353753,bone,clavicula_left+53more
pancreas,797,63.06,33.86,54.33,0.6232284189214062,organ,adrenal_gland_left+10more
liver,935,75.16,26.85,47.21,0.568735437407329,organ,adrenal_gland_left+10more
duodenum,758,1.1,102.33,183.34,0.558143340242173,organ,duodenum
prostate,313,42.6,37.54,68.02,0.5518965010291091,organ,prostate
femur_right,552,389.92,248.3,450.3,0.5514101709971131,bone,femur_right
femur_left,562,400.44,256.08,473.5,0.5408236536430834,bone,femur_left
rib_right_11,857,440.01,125.59,238.25,0.5271353620146905,bone,clavicula_left+53more
adrenal_gland_left,786,39.12,29.85,56.7,0.5264550264550265,organ,adrenal_gland_left+10more
rib_right_4,771,342.02,120.29,229.17,0.5248941833573331,bone,clavicula_left+53more
rib_right_3,756,329.25,111.26,212.09,0.5245886180395115,bone,clavicula_left+53more
lung_upper_lobe_left,1022,-780.45,83.74,161.49,0.5185460400024768,lung,lung_lower_lobe_left+1more
rib_left_11,849,431.94,120.92,234.98,0.5145969869776151,bone,clavicula_left+53more
rib_left_4,797,338.17,113.26,222.2,0.5097209720972098,bone,clavicula_left+53more
humerus_right,593,221.7,155.96,306.62,0.5086426195290588,bone,humerus_right
rib_left_3,765,328.62,107.13,210.81,0.5081827237797069,bone,clavicula_left+53more
rib_right_5,820,341.91,121.44,240.11,0.5057681895797759,bone,clavicula_left+53more
rib_left_5,852,330.53,115.31,228.03,0.5056790773143884,bone,clavicula_left+53more
humerus_left,600,228.86,146.52,290.62,0.5041635124905375,bone,humerus_left
vertebrae_C6,511,448.97,115.51,229.56,0.5031799965150723,bone,clavicula_left+53more
gluteus_minimus_left,574,30.43,24.74,49.68,0.49798711755233493,muscle,autochthon_left+9more
vertebrae_C2,248,576.75,165.65,334.45,0.49529077590073256,bone,clavicula_left+53more
adrenal_gland_right,814,35.4,29.19,59.38,0.49157965644998314,organ,adrenal_gland_left+10more
colon,907,-185.92,158.25,323.28,0.48951373422420197,organ,colon
gluteus_maximus_right,590,27.47,18.97,38.95,0.4870346598202823,muscle,autochthon_left+9more
vertebrae_C5,312,509.72,134.07,276.64,0.48463707345286294,bone,clavicula_left+53more
rib_right_2,745,349.48,109.17,225.45,0.48423153692614773,bone,clavicula_left+53more
rib_right_6,859,339.75,116.5,241.77,0.48186292757579513,bone,clavicula_left+53more
rib_left_2,752,341.35,101.39,211.11,0.4802709487944673,bone,clavicula_left+53more
rib_left_6,899,333.29,115.1,241.56,0.47648617320748465,bone,clavicula_left+53more
gluteus_minimus_right,567,31.36,23.3,48.94,0.47609317531671436,muscle,autochthon_left+9more
gluteus_maximus_left,592,27.77,18.6,39.38,0.47232097511427124,muscle,autochthon_left+9more
rib_left_8,886,365.46,110.2,234.44,0.47005630438491725,bone,clavicula_left+53more
small_bowel,806,-21.07,94.62,201.74,0.4690195300882324,organ,small_bowel
rib_left_10,876,423.31,115.28,245.91,0.46878939449392054,bone,clavicula_left+53more
lung_upper_lobe_right,865,-782.39,74.49,159.49,0.46705122578218067,lung,lung_lower_lobe_right+2more
rib_right_1,735,440.43,135.29,298.22,0.45365837301321166,bone,rib_right_1
rib_right_10,858,429.98,114.18,251.84,0.45338310038119445,bone,clavicula_left+53more
rib_right_8,855,364.12,108.99,241.09,0.452071840391555,bone,clavicula_left+53more
rib_left_9,889,387.79,109.01,243.72,0.44727556212046615,bone,clavicula_left+53more
rib_left_7,884,349.86,108.2,244.37,0.4427712075950403,bone,clavicula_left+53more
vertebrae_C7,681,380.15,98.62,222.96,0.44232149264442056,bone,clavicula_left+53more
rib_right_9,859,388.37,109.83,249.84,0.43960134486071084,bone,clavicula_left+53more
gallbladder,632,22.71,21.52,48.99,0.43927332108593586,organ,gallbladder
rib_right_7,846,353.55,108.77,247.84,0.43887185280826335,bone,clavicula_left+53more
vertebrae_C4,242,550.34,134.3,308.42,0.43544517216782314,bone,clavicula_left+53more
rib_left_1,739,442.26,126.95,291.66,0.43526709181924156,bone,rib_left_1
vertebrae_T8,783,335.68,98.52,227.67,0.4327315851890895,bone,clavicula_left+53more
vertebrae_S1,593,335.92,102.92,240.37,0.4281732329325623,bone,clavicula_left+53more
brain,243,45.78,26.47,62.05,0.4265914585012087,other,brain
vertebrae_T6,715,337.55,97.73,231.44,0.4222692706533011,bone,clavicula_left+53more
stomach,900,-53.23,112.99,268.22,0.4212586682574006,organ,stomach
vertebrae_C3,228,521.12,129.08,307.79,0.41937684785080737,bone,clavicula_left+53more
gluteus_medius_left,621,35.09,17.8,42.9,0.41491841491841497,muscle,autochthon_left+9more
gluteus_medius_right,611,36.81,17.24,42.05,0.40998810939357905,muscle,autochthon_left+9more
vertebrae_T7,723,333.77,91.95,230.66,0.3986386889794503,bone,clavicula_left+53more
skull,440,732.36,214.56,579.97,0.36995016983637086,bone,skull
vertebrae_T9,844,331.81,85.28,231.02,0.3691455285256688,bone,clavicula_left+53more
sternum,945,226.3,79.7,216.68,0.36782351855270445,bone,sternum
vertebrae_T5,725,335.25,85.5,233.77,0.3657441074560465,bone,clavicula_left+53more
vertebrae_T3,737,345.2,85.01,235.41,0.3611146510343656,bone,clavicula_left+53more
autochthon_left,1131,24.99,22.08,61.26,0.3604309500489716,muscle,autochthon_left+9more
costal_cartilages,1013,120.22,36.51,101.5,0.35970443349753695,bone,costal_cartilages
vertebrae_T1,702,359.22,84.75,235.68,0.35959775967413443,bone,clavicula_left+53more
autochthon_right,1130,23.65,22.57,63.21,0.3570637557348521,muscle,autochthon_left+9more
vertebrae_C1,241,605.05,135.68,380.62,0.3564710209657927,bone,clavicula_left+53more
vertebrae_T2,721,347.92,82.44,233.92,0.35242818057455544,bone,clavicula_left+53more
vertebrae_T11,885,321.49,82.22,236.09,0.34825702062772673,bone,clavicula_left+53more
vertebrae_L1,790,314.17,82.42,238.05,0.3462297836588952,bone,clavicula_left+53more
