class,n_present,frac_present,mean_hu,between_subj_std_hu,within_subj_voxel_std_hu
spinal_cord,1182,0.9625,22.20,10.22,55.66
autochthon_left,1131,0.9210,24.99,22.08,61.26
autochthon_right,1130,0.9202,23.65,22.57,63.21
aorta,1102,0.8974,180.78,132.40,99.39
esophagus,1032,0.8404,-5.11,59.70,176.86
lung_upper_lobe_left,1022,0.8322,-780.45,83.74,161.49
costal_cartilages,1013,0.8249,120.22,36.51,101.50
lung_lower_lobe_left,999,0.8135,-722.47,128.16,186.91
lung_lower_lobe_right,983,0.8005,-730.19,132.49,186.27
inferior_vena_cava,975,0.7940,85.43,46.28,57.48
sternum,945,0.7695,226.30,79.70,216.68
liver,935,0.7614,75.16,26.85,47.21
heart,910,0.7410,141.57,90.53,95.84
colon,907,0.7386,-185.92,158.25,323.28
stomach,900,0.7329,-53.23,112.99,268.22
rib_left_6,899,0.7321,333.29,115.10,241.56
rib_left_9,889,0.7239,387.79,109.01,243.72
rib_left_8,886,0.7215,365.46,110.20,234.44
vertebrae_T11,885,0.7207,321.49,82.22,236.09
rib_left_7,884,0.7199,349.86,108.20,244.37
spleen,883,0.7191,86.03,36.39,51.79
lung_middle_lobe_right,876,0.7134,-800.30,102.50,157.55
rib_left_10,876,0.7134,423.31,115.28,245.91
vertebrae_T10,875,0.7125,328.02,81.46,235.67
vertebrae_T12,866,0.7052,305.23,77.96,228.35
lung_upper_lobe_right,865,0.7044,-782.39,74.49,159.49
rib_right_6,859,0.6995,339.75,116.50,241.77
rib_right_9,859,0.6995,388.37,109.83,249.84
rib_right_10,858,0.6987,429.98,114.18,251.84
rib_right_11,857,0.6979,440.01,125.59,238.25
rib_right_8,855,0.6963,364.12,108.99,241.09
rib_left_5,852,0.6938,330.53,115.31,228.03
rib_left_11,849,0.6914,431.94,120.92,234.98
rib_right_7,846,0.6889,353.55,108.77,247.84
vertebrae_T9,844,0.6873,331.81,85.28,231.02
rib_right_5,820,0.6678,341.91,121.44,240.11
iliopsoas_right,819,0.6669,48.19,10.84,48.72
iliopsoas_left,818,0.6661,48.77,11.95,53.05
portal_vein_and_splenic_vein,818,0.6661,110.63,53.09,64.55
adrenal_gland_right,814,0.6629,35.40,29.19,59.38
small_bowel,806,0.6564,-21.07,94.62,201.74
scapula_left,800,0.6515,358.20,81.66,292.42
pancreas,797,0.6490,63.06,33.86,54.33
rib_left_4,797,0.6490,338.17,113.26,222.20
kidney_left,795,0.6474,104.97,55.97,60.59
trachea,792,0.6450,-858.35,60.91,209.49
vertebrae_L1,790,0.6433,314.17,82.42,238.05
adrenal_gland_left,786,0.6401,39.12,29.85,56.70
vertebrae_T8,783,0.6376,335.68,98.52,227.67
scapula_right,778,0.6336,374.11,82.06,296.39
pulmonary_vein,775,0.6311,172.63,128.15,89.38
rib_left_12,772,0.6287,397.10,123.70,188.73
kidney_right,771,0.6279,107.92,55.63,61.44
rib_right_4,771,0.6279,342.02,120.29,229.17
rib_right_12,767,0.6246,402.66,123.22,194.91
superior_vena_cava,767,0.6246,243.18,261.41,240.18
rib_left_3,765,0.6230,328.62,107.13,210.81
duodenum,758,0.6173,1.10,102.33,183.34
rib_right_3,756,0.6156,329.25,111.26,212.09
common_carotid_artery_left,753,0.6132,166.15,117.28,92.68
rib_left_2,752,0.6124,341.35,101.39,211.11
subclavian_artery_left,751,0.6116,160.16,115.50,109.96
rib_right_2,745,0.6067,349.48,109.17,225.45
rib_left_1,739,0.6018,442.26,126.95,291.66
vertebrae_T3,737,0.6002,345.20,85.01,235.41
vertebrae_T4,736,0.5993,336.07,80.86,234.56
rib_right_1,735,0.5985,440.43,135.29,298.22
brachiocephalic_vein_right,733,0.5969,257.29,362.82,284.75
brachiocephalic_trunk,729,0.5936,197.10,134.74,85.90
brachiocephalic_vein_left,728,0.5928,205.52,281.05,230.63
subclavian_artery_right,727,0.5920,162.96,116.21,106.41
vertebrae_T5,725,0.5904,335.25,85.50,233.77
clavicula_left,723,0.5888,480.71,128.45,393.93
vertebrae_T7,723,0.5888,333.77,91.95,230.66
vertebrae_T2,721,0.5871,347.92,82.44,233.92
clavicula_right,718,0.5847,469.59,127.79,393.03
common_carotid_artery_right,717,0.5839,171.58,117.10,78.46
vertebrae_T6,715,0.5822,337.55,97.73,231.44
vertebrae_L2,706,0.5749,330.24,82.90,245.14
vertebrae_T1,702,0.5717,359.22,84.75,235.68
thyroid_gland,700,0.5700,127.30,43.97,57.66
vertebrae_C7,681,0.5546,380.15,98.62,222.96
atrial_appendage_left,668,0.5440,144.04,108.46,87.26
iliac_artery_left,643,0.5236,154.20,110.42,117.77
hip_left,641,0.5220,336.45,78.27,291.44
iliac_artery_right,637,0.5187,158.19,114.01,118.77
vertebrae_L3,637,0.5187,336.05,81.11,245.63
hip_right,636,0.5179,337.90,82.52,290.75
gallbladder,632,0.5147,22.71,21.52,48.99
vertebrae_L4,632,0.5147,340.37,80.40,254.37
iliac_vena_left,627,0.5106,65.48,28.03,42.53
iliac_vena_right,622,0.5065,66.82,29.31,41.21
gluteus_medius_left,621,0.5057,35.09,17.80,42.90
vertebrae_L5,616,0.5016,343.37,82.02,250.71
gluteus_medius_right,611,0.4976,36.81,17.24,42.05
sacrum,609,0.4959,205.01,70.06,204.82
humerus_left,600,0.4886,228.86,146.52,290.62
humerus_right,593,0.4829,221.70,155.96,306.62
vertebrae_S1,593,0.4829,335.92,102.92,240.37
gluteus_maximus_left,592,0.4821,27.77,18.60,39.38
gluteus_maximus_right,590,0.4805,27.47,18.97,38.95
gluteus_minimus_left,574,0.4674,30.43,24.74,49.68
urinary_bladder,569,0.4634,19.41,85.54,76.11
gluteus_minimus_right,567,0.4617,31.36,23.30,48.94
femur_left,562,0.4577,400.44,256.08,473.50
femur_right,552,0.4495,389.92,248.30,450.30
vertebrae_C6,511,0.4161,448.97,115.51,229.56
skull,440,0.3583,732.36,214.56,579.97
prostate,313,0.2549,42.60,37.54,68.02
vertebrae_C5,312,0.2541,509.72,134.07,276.64
vertebrae_C2,248,0.2020,576.75,165.65,334.45
