class,n_present,frac_present,mean_z,between_subj_std_z,within_subj_voxel_std_z
vertebrae,423,0.6867,0.31,0.55,0.39
spinal_cord,420,0.6818,0.63,1.03,0.62
intervertebral_discs,413,0.6705,0.04,0.53,0.38
autochthon_left,332,0.5390,0.27,0.59,0.45
autochthon_right,327,0.5308,0.30,0.60,0.47
colon,294,0.4773,0.22,0.65,0.72
aorta,272,0.4416,0.61,1.22,0.47
iliopsoas_right,272,0.4416,-0.02,0.61,0.28
iliopsoas_left,269,0.4367,-0.00,0.61,0.28
lung_left,259,0.4205,-0.56,0.25,0.26
lung_right,258,0.4188,-0.59,0.24,0.23
inferior_vena_cava,251,0.4075,0.45,1.05,0.45
small_bowel,245,0.3977,0.61,0.83,0.71
liver,241,0.3912,0.64,0.94,0.43
spleen,224,0.3636,0.84,1.07,0.42
stomach,222,0.3604,0.43,0.75,0.61
esophagus,221,0.3588,0.32,0.68,0.42
kidney_left,212,0.3442,0.97,1.16,0.51
heart,203,0.3295,0.44,0.96,0.52
kidney_right,197,0.3198,0.94,1.15,0.51
portal_vein_and_splenic_vein,188,0.3052,0.76,1.16,0.46
duodenum,182,0.2955,0.50,0.88,0.55
pancreas,182,0.2955,0.75,0.82,0.51
hip_right,168,0.2727,0.25,0.53,0.42
hip_left,166,0.2695,0.19,0.49,0.42
adrenal_gland_right,163,0.2646,0.55,0.63,0.51
adrenal_gland_left,162,0.2630,0.54,0.65,0.50
iliac_artery_right,142,0.2305,0.46,1.16,0.46
iliac_artery_left,141,0.2289,0.39,1.11,0.48
sacrum,141,0.2289,0.39,0.61,0.46
iliac_vena_right,138,0.2240,0.42,1.08,0.47
iliac_vena_left,137,0.2224,0.37,1.03,0.46
gallbladder,133,0.2159,0.60,1.16,0.42
gluteus_medius_left,130,0.2110,0.06,0.64,0.34
gluteus_medius_right,127,0.2062,0.07,0.63,0.35
femur_right,123,0.1997,0.46,0.74,0.57
femur_left,116,0.1883,0.43,0.70,0.54
gluteus_maximus_right,114,0.1851,0.08,0.60,0.33
gluteus_maximus_left,112,0.1818,0.01,0.58,0.30
gluteus_minimus_right,98,0.1591,0.06,0.71,0.40
humerus_left,97,0.1575,0.73,0.98,0.63
gluteus_minimus_left,95,0.1542,0.05,0.63,0.43
clavicula_right,90,0.1461,0.40,0.68,0.51
clavicula_left,89,0.1445,0.56,0.74,0.56
humerus_right,87,0.1412,0.61,0.81,0.61
urinary_bladder,86,0.1396,0.86,1.33,0.57
scapula_left,67,0.1088,0.32,0.56,0.57
brain,66,0.1071,1.21,0.75,0.76
scapula_right,63,0.1023,0.32,0.62,0.50
prostate,43,0.0698,0.38,0.89,0.35
atrial_appendage_left,0,0.0000,nan,nan,nan
brachiocephalic_trunk,0,0.0000,nan,nan,nan
brachiocephalic_vein_left,0,0.0000,nan,nan,nan
brachiocephalic_vein_right,0,0.0000,nan,nan,nan
common_carotid_artery_left,0,0.0000,nan,nan,nan
common_carotid_artery_right,0,0.0000,nan,nan,nan
costal_cartilages,0,0.0000,nan,nan,nan
kidney_cyst_left,0,0.0000,nan,nan,nan
kidney_cyst_right,0,0.0000,nan,nan,nan
lung_lower_lobe_left,0,0.0000,nan,nan,nan
lung_lower_lobe_right,0,0.0000,nan,nan,nan
lung_middle_lobe_right,0,0.0000,nan,nan,nan
lung_upper_lobe_left,0,0.0000,nan,nan,nan
lung_upper_lobe_right,0,0.0000,nan,nan,nan
pulmonary_vein,0,0.0000,nan,nan,nan
rib_left_1,0,0.0000,nan,nan,nan
rib_left_2,0,0.0000,nan,nan,nan
rib_left_3,0,0.0000,nan,nan,nan
rib_left_4,0,0.0000,nan,nan,nan
rib_left_5,0,0.0000,nan,nan,nan
rib_left_6,0,0.0000,nan,nan,nan
rib_left_7,0,0.0000,nan,nan,nan
rib_left_8,0,0.0000,nan,nan,nan
rib_left_9,0,0.0000,nan,nan,nan
rib_left_10,0,0.0000,nan,nan,nan
rib_left_11,0,0.0000,nan,nan,nan
rib_left_12,0,0.0000,nan,nan,nan
rib_right_1,0,0.0000,nan,nan,nan
rib_right_2,0,0.0000,nan,nan,nan
rib_right_3,0,0.0000,nan,nan,nan
rib_right_4,0,0.0000,nan,nan,nan
rib_right_5,0,0.0000,nan,nan,nan
rib_right_6,0,0.0000,nan,nan,nan
rib_right_7,0,0.0000,nan,nan,nan
rib_right_8,0,0.0000,nan,nan,nan
rib_right_9,0,0.0000,nan,nan,nan
rib_right_10,0,0.0000,nan,nan,nan
rib_right_11,0,0.0000,nan,nan,nan
rib_right_12,0,0.0000,nan,nan,nan
skull,0,0.0000,nan,nan,nan
sternum,0,0.0000,nan,nan,nan
subclavian_artery_left,0,0.0000,nan,nan,nan
subclavian_artery_right,0,0.0000,nan,nan,nan
superior_vena_cava,0,0.0000,nan,nan,nan
thyroid_gland,0,0.0000,nan,nan,nan
trachea,0,0.0000,nan,nan,nan
vertebrae_C1,0,0.0000,nan,nan,nan
vertebrae_C2,0,0.0000,nan,nan,nan
vertebrae_C3,0,0.0000,nan,nan,nan
vertebrae_C4,0,0.0000,nan,nan,nan
vertebrae_C5,0,0.0000,nan,nan,nan
vertebrae_C6,0,0.0000,nan,nan,nan
vertebrae_C7,0,0.0000,nan,nan,nan
vertebrae_L1,0,0.0000,nan,nan,nan
vertebrae_L2,0,0.0000,nan,nan,nan
vertebrae_L3,0,0.0000,nan,nan,nan
vertebrae_L4,0,0.0000,nan,nan,nan
vertebrae_L5,0,0.0000,nan,nan,nan
vertebrae_S1,0,0.0000,nan,nan,nan
vertebrae_T1,0,0.0000,nan,nan,nan
vertebrae_T2,0,0.0000,nan,nan,nan
vertebrae_T3,0,0.0000,nan,nan,nan
vertebrae_T4,0,0.0000,nan,nan,nan
vertebrae_T5,0,0.0000,nan,nan,nan
vertebrae_T6,0,0.0000,nan,nan,nan
vertebrae_T7,0,0.0000,nan,nan,nan
vertebrae_T8,0,0.0000,nan,nan,nan
vertebrae_T9,0,0.0000,nan,nan,nan
vertebrae_T10,0,0.0000,nan,nan,nan
vertebrae_T11,0,0.0000,nan,nan,nan
vertebrae_T12,0,0.0000,nan,nan,nan
hip_implant,0,0.0000,nan,nan,nan
