subject_id,split,size,z,depth,slice_score,n_classes_in_slice,class_name,class_idx,area,area_frac
s0000,val,128,93,128,6.6719,13,urinary_bladder,92,372,0.02271
s0000,val,128,93,128,6.6719,13,gluteus_maximus_left,22,360,0.02197
s0000,val,128,93,128,6.6719,13,gluteus_maximus_right,23,247,0.01508
s0000,val,128,93,128,6.6719,13,colon,13,198,0.01208
s0000,val,128,93,128,6.6719,13,gluteus_medius_right,25,176,0.01074
s0000,val,128,93,128,6.6719,13,hip_right,30,167,0.01019
s0000,val,128,93,128,6.6719,13,hip_left,29,115,0.00702
s0000,val,128,93,128,6.6719,13,femur_left,19,96,0.00586
s0000,val,128,93,128,6.6719,13,gluteus_medius_left,24,95,0.0058
s0000,val,128,93,128,6.6719,13,iliopsoas_right,38,84,0.00513
s0000,val,128,93,128,6.6719,13,iliopsoas_left,37,74,0.00452
s0000,val,128,93,128,6.6719,13,gluteus_minimus_right,27,73,0.00446
s0000,val,128,93,128,6.6719,13,gluteus_minimus_left,26,53,0.00323
s0001,train,128,107,128,9.9756,14,liver,44,1815,0.11078
s0001,train,128,107,128,9.9756,14,pancreas,50,253,0.01544
s0001,train,128,107,128,9.9756,14,spleen,84,231,0.0141
s0001,train,128,107,128,9.9756,14,stomach,86,147,0.00897
s0001,train,128,107,128,9.9756,14,colon,13,143,0.00873
s0001,train,128,107,128,9.9756,14,vertebrae_L1,100,137,0.00836
s0001,train,128,107,128,9.9756,14,autochthon_left,5,135,0.00824
s0001,train,128,107,128,9.9756,14,kidney_right,43,133,0.00812
s0001,train,128,107,128,9.9756,14,kidney_left,42,129,0.00787
s0001,train,128,107,128,9.9756,14,autochthon_right,6,123,0.00751
s0001,train,128,107,128,9.9756,14,portal_vein_and_splenic_vein,51,67,0.00409
s0001,train,128,107,128,9.9756,14,vertebrae_T12,117,42,0.00256
s0001,train,128,107,128,9.9756,14,costal_cartilages,16,35,0.00214
s0001,train,128,107,128,9.9756,14,aorta,3,32,0.00195
s0002,train,128,33,128,7.8219,17,vertebrae_T1,106,183,0.01117
s0002,train,128,33,128,7.8219,17,scapula_right,80,144,0.00879
s0002,train,128,33,128,7.8219,17,scapula_left,79,140,0.00854
s0002,train,128,33,128,7.8219,17,thyroid_gland,90,89,0.00543
s0002,train,128,33,128,7.8219,17,lung_upper_lobe_left,48,80,0.00488
s0002,train,128,33,128,7.8219,17,autochthon_right,6,75,0.00458
s0002,train,128,33,128,7.8219,17,rib_right_2,67,68,0.00415
s0002,train,128,33,128,7.8219,17,trachea,91,58,0.00354
s0002,train,128,33,128,7.8219,17,rib_left_2,55,56,0.00342
s0002,train,128,33,128,7.8219,17,clavicula_right,12,54,0.0033
s0002,train,128,33,128,7.8219,17,clavicula_left,11,50,0.00305
s0002,train,128,33,128,7.8219,17,autochthon_left,5,49,0.00299
s0002,train,128,33,128,7.8219,17,subclavian_artery_left,87,46,0.00281
s0002,train,128,33,128,7.8219,17,lung_upper_lobe_right,49,36,0.0022
s0002,train,128,33,128,7.8219,17,subclavian_artery_right,88,30,0.00183
s0002,train,128,33,128,7.8219,17,esophagus,18,28,0.00171
s0002,train,128,33,128,7.8219,17,rib_right_1,66,27,0.00165
s0003,train,128,8,128,11.4451,20,lung_upper_lobe_right,49,555,0.03387
s0003,train,128,8,128,11.4451,20,lung_upper_lobe_left,48,525,0.03204
s0003,train,128,8,128,11.4451,20,vertebrae_T2,107,245,0.01495
s0003,train,128,8,128,11.4451,20,autochthon_right,6,235,0.01434
s0003,train,128,8,128,11.4451,20,vertebrae_T3,108,235,0.01434
s0003,train,128,8,128,11.4451,20,autochthon_left,5,213,0.013
s0003,train,128,8,128,11.4451,20,scapula_right,80,205,0.01251
s0003,train,128,8,128,11.4451,20,rib_right_3,68,98,0.00598
s0003,train,128,8,128,11.4451,20,spinal_cord,83,98,0.00598
s0003,train,128,8,128,11.4451,20,subclavian_artery_right,88,94,0.00574
s0003,train,128,8,128,11.4451,20,trachea,91,88,0.00537
s0003,train,128,8,128,11.4451,20,rib_left_3,56,72,0.00439
s0003,train,128,8,128,11.4451,20,scapula_left,79,64,0.00391
s0003,train,128,8,128,11.4451,20,clavicula_left,11,62,0.00378
s0003,train,128,8,128,11.4451,20,clavicula_right,12,62,0.00378
s0003,train,128,8,128,11.4451,20,esophagus,18,52,0.00317
s0003,train,128,8,128,11.4451,20,subclavian_artery_left,87,46,0.00281
s0003,train,128,8,128,11.4451,20,rib_left_1,54,33,0.00201
s0003,train,128,8,128,11.4451,20,rib_left_2,55,31,0.00189
s0003,train,128,8,128,11.4451,20,rib_right_1,66,27,0.00165
s0004,train,128,99,128,6.405,9,lung_upper_lobe_left,48,227,0.01385
s0004,train,128,99,128,6.405,9,lung_lower_lobe_right,46,201,0.01227
s0004,train,128,99,128,6.405,9,lung_middle_lobe_right,47,193,0.01178
s0004,train,128,99,128,6.405,9,lung_upper_lobe_right,49,121,0.00739
s0004,train,128,99,128,6.405,9,heart,28,109,0.00665
s0004,train,128,99,128,6.405,9,lung_lower_lobe_left,45,81,0.00494
s0004,train,128,99,128,6.405,9,aorta,3,48,0.00293
s0004,train,128,99,128,6.405,9,vertebrae_T6,111,36,0.0022
s0004,train,128,99,128,6.405,9,pulmonary_vein,53,26,0.00159
s0006,train,128,105,128,11.6376,18,liver,44,957,0.05841
s0006,train,128,105,128,11.6376,18,autochthon_left,5,371,0.02264
s0006,train,128,105,128,11.6376,18,autochthon_right,6,357,0.02179
s0006,train,128,105,128,11.6376,18,kidney_left,42,272,0.0166
